설치주소,설치기구 종류,담당부서,설치년도
충청남도 청양군 남양면 온직리 503-6,허리돌리기1개+ 활차머신1개+ 공중걷기 1개,문화체육관광과,2020
충청남도 청양군 남양면 용마리 459-2,허리돌리기 1개+ 달리기 운동1개,문화체육관광과,2020
충청남도 청양군 남양면 백금리 653-1,허리돌리기1개+ 활차머신1개,문화체육관광과,2020
"충청남도 청양군 남양면 금정리 624-1, 401-2번지 옆",허리돌리기1대+  활차머신1대+ 공중걷기1대+ 달기기운동1대+ 다뻗치기 1대,안전재난과,2014
충청남도 청양군 남양면 온직리 208-1,공중걷기1개+ 허리돌리기 1개+ 달리기 운동 1개,,
"충청남도 청양군 남양면 금정리 366-10, 365-1",역기올리기+상체근육풀기 1개+ 자전거탙기+레그프레스 1개,문화체육관광과,2021
충청남도 청양군 남양면 용두리 245-2,상체근육풀기+옆파도타기 1개+ 하늘걷기+어리돌리기 1개,문화체육관광과,2021
충청남도 청양군 남양면 금정리 393-1,파도타기+상체근육풀기+ 공중걷기+허리돌리기,문화체육관광과,2021
충청남도 청양군 남양면 용마리 750,파도타기+상체근육풀기+ 공중걷기+허리돌리기,문화체육관광과,2021
충청남도 청양군 화성면 신정리 619,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2017
충청남도 청양군 화성면 신정리 484,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2017
충청남도 청양군 화성면 용당리 149-8,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2015
충청남도 청양군 화성면 용당리 195번지,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2013
충청남도 청양군 화성면 용당리 486-1,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2013
충청남도 청양군 화성면 장계리 290-2,공중걷기1개+ 허리돌리기1개+ 상체근육풀기1개,문화체육관광과,"2014, 2018"
충청남도 청양군 화성면 장계리 330-3,공중걷기1개+ 상체근육풀기1개,문화체육관광과, 
충청남도 청양군 화성면 화강리 197-7,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2015
충청남도 청양군 화성면 화암리 166,허리돌리기1개+ 상체근육풀기1개,문화체육관광과, 
충청남도 청양군 화성면 화암리 366-12,허리돌리기1개+ 상체근육풀기1개,문화체육관광과, 
충청남도 청양군 화성면 수정리 764-2,허리돌리기1개+ 상체근육풀기1개+역기올리기1개+ 레그프레스1개+ 등허리풀기1개,문화체육관광과, 
충청남도 청양군 화성면 수정리 716,허리돌리기1개+ 상체근육풀기1개,문화체육관광과, 
충청남도 청양군 화성면 덕평길 197,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2019
충청남도 청양군 화성면 농암리 436-4,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2019
충청남도 청양군 화성면 수정리 748-4,공중걷기 1개+ 역기올리기 1개,,
충청남도 청양군 화성면 용당리 26-2,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2020
충청남도 청양군 화성면 용당리 351,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2019
"충청남도 청양군 화성면 장계리 565-2, 564-2",허리돌리기+공중걷기(1개)+   활차머신(1개),문화체육관광과,2020
충청남도 청양군 화성면 구재리 395,허리돌리기+공중걷기(1개)+   활차머신(1개),문화체육관광과,2020
충청남도 청양군 화성면 장계리 636,하늘걷기+달리기(1개)+ 윗몸일으키기+허리돌리기(1개),문화체육관광과,2021
충청남도 청양군 화성면 구재리 227-7,큰활차+작은활차(1개)+ 공중걷기+허리돌리기(1개),문화체육관광과,2021
충청남도 청양군 화성면 장계리 448,허리돌리기+ 큰활차+작은활차(1개), ,2016
충청남도 청양군 비봉면 장재리 산31-3 ,공중걷기1개+ 허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2012이전
충청남도 청양군 비봉면 장재리 309-1,공중걷기1개+ 허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2012이전
